,0,1
389,CARR,MLM
390,CARR,NI
391,CARR,PEG
392,CARR,RF
393,CARR,SRE
394,CARR,TPR
395,CARR,TMO
396,CARR,WMB
397,CBRE,GLW
398,CBRE,CTRA
399,CBRE,CVS
400,CBRE,DVN
401,CBRE,DFS
402,CBRE,ECL
403,CBRE,LH
404,CBRE,PKI
405,CBRE,PXD
406,CBRE,PNC
407,CBRE,SRE
408,CBRE,TMO
409,CBRE,USB
410,CE,DGX
411,CE,SHW
412,CNC,CNP
413,CNC,CMS
414,CNC,ED
415,CNC,DTE
416,CNC,DUK
417,CNC,EIX
418,CNC,ETR
419,CNC,EQT
420,CNC,EVRG
421,CNC,ES
422,CNC,F
423,CNC,TAP
424,CNC,NEE
425,CNC,PAYC
426,CNC,PPL
427,CNC,PEG
428,CNC,RSG
429,CNC,SRE
430,CNC,SO
431,CNC,TT
432,CNC,WM
433,CNC,WEC
434,CNP,CDAY
435,CNP,DPZ
436,CNP,IQV
437,CNP,IRM
438,CNP,LH
439,CNP,TAP
440,CNP,MCO
441,CNP,SYY
442,CNP,TMO
443,CDAY,CVX
444,CDAY,STZ
445,CDAY,GLW
446,CDAY,CTVA
447,CDAY,CTRA
448,CDAY,CVS
449,CDAY,DRI
450,CDAY,DVN
451,CDAY,DG
452,CDAY,DOV
453,CDAY,ETN
454,CDAY,ETR
455,CDAY,EOG
456,CDAY,EPAM
457,CDAY,EQT
458,CDAY,FE
459,CDAY,FTV
460,CDAY,BEN
461,CDAY,FCX
462,CDAY,GE
463,CDAY,GS
464,CDAY,HAL
465,CDAY,HCA
466,CDAY,HPE
467,CDAY,HD
468,CDAY,HUM
469,CDAY,ITW
470,CDAY,IR
471,CDAY,IRM
472,CDAY,JCI
473,CDAY,JPM
474,CDAY,KMI
475,CDAY,KR
476,CDAY,LVS
477,CDAY,LEN
478,CDAY,LOW
479,CDAY,MRO
480,CDAY,MLM
481,CDAY,MTD
482,CDAY,MGM
483,CDAY,MS
484,CDAY,MSCI
485,CDAY,NI
486,CDAY,NSC
487,CDAY,OKE
488,CDAY,ORCL
489,CDAY,PH
490,CDAY,PM
491,CDAY,PNW
492,CDAY,PXD
493,CDAY,PRU
494,CDAY,RJF
495,CDAY,RTX
496,CDAY,RF
497,CDAY,ROK
498,CDAY,SRE
499,CDAY,SPG
500,CDAY,STT
501,CDAY,SYF
502,CDAY,TRGP
503,CDAY,TXT
504,CDAY,TDG
505,CDAY,URI
506,CDAY,VMC
507,CDAY,WMT
508,CDAY,WMB
509,CDAY,ZBH
510,CF,CTVA
511,CF,IRM
512,CF,PHM
513,CF,WM
514,CRL,DVN
515,CRL,DFS
516,CRL,EQT
517,CRL,OXY
518,CRL,PNR
519,CRL,PNC
520,SCHW,RL
521,CVX,ELV
522,CVX,HD
523,CVX,IRM
524,CVX,LMT
525,CVX,MAS
526,CVX,PHM
527,CMG,DPZ
528,CMG,FDS
529,CMG,PAYC
530,C,GLW
531,C,DVN
532,C,PNR
533,CFG,HD
534,CFG,SRE
535,CLX,DG
536,CLX,DGX
537,CLX,WMB
538,CMS,KO
539,CMS,EFX
540,CMS,LH
541,CMS,MTD
542,CMS,TAP
543,CMS,ORCL
544,CMS,DGX
545,CMS,SPG
546,CMS,SYY
547,CMS,UHS
548,CMS,V
549,CMS,WAT
550,KO,DUK
551,KO,EIX
552,KO,ETR
553,KO,ES
554,KO,PNW
555,KO,PPL
556,KO,SO
557,CL,DGX
558,CL,TMO
559,CMA,EL
560,COP,DHR
561,COP,ECL
562,COP,FRC
563,COP,MAS
564,COP,PAYC
565,COP,PHM
566,COP,TMO
567,COP,TYL
568,COP,ZTS
569,ED,TAP
570,ED,SYY
571,ED,WMB
572,STZ,DHI
573,STZ,DHR
574,STZ,LVS
575,STZ,LEN
576,STZ,LOW
577,STZ,NVR
578,STZ,PHM
579,STZ,TPR
580,STZ,WMB
581,COO,LH
582,GLW,DVN
583,GLW,DFS
584,GLW,ECL
585,GLW,EFX
586,GLW,EL
587,GLW,GM
588,GLW,HD
589,GLW,LH
590,GLW,PXD
591,GLW,PHM
592,GLW,TEL
593,GLW,TMO
594,GLW,UPS
595,CTVA,MAS
596,CTVA,PAYC
597,CTVA,PHM
598,CTVA,TMO
599,CTRA,DHI
600,CTRA,DHR
601,CTRA,DFS
602,CTRA,EFX
603,CTRA,HD
604,CTRA,LEN
605,CTRA,LOW
606,CTRA,NVR
607,CTRA,PNC
608,CTRA,PHM
609,CTRA,TPR
610,CTRA,TMO
611,CCI,VTR
612,CVS,DHR
613,CVS,ECL
614,CVS,EFX
615,CVS,EL
616,CVS,F
617,CVS,GM
618,CVS,HLT
619,CVS,HD
620,CVS,IVZ
621,CVS,IQV
622,CVS,LOW
623,CVS,MLM
624,CVS,MGM
625,CVS,MCO
626,CVS,MS
627,CVS,MSCI
628,CVS,NSC
629,CVS,PAYC
630,CVS,RMD
631,CVS,SPGI
632,CVS,TPR
633,CVS,TEL
634,CVS,TMO
635,CVS,TDG
636,CVS,TYL
637,CVS,UPS
638,CVS,VMC
639,DHI,EMR
640,DHI,FE
641,DHI,GS
642,DHI,LVS
643,DHI,NI
644,DHI,DGX
645,DHI,RF
646,DHI,TPR
647,DHI,TRGP
648,DHI,TMO
649,DHI,WMB
650,DHI,YUM
651,DHR,DVN
652,DHR,DPZ
653,DHR,EIX
654,DHR,ELV
655,DHR,EOG
656,DHR,EFX
657,DHR,FE
658,DHR,GS
659,DHR,HES
660,DHR,IRM
661,DHR,JNJ
662,DHR,KMI
663,DHR,MRO
664,DHR,MOS
665,DHR,PFE
666,DHR,PXD
667,DHR,SRE
668,DHR,TRGP
669,DHR,UPS
670,DHR,VLO
671,DHR,WAT
672,DHR,WMB
673,DRI,LVS
674,DRI,RJF
675,DAL,SHW
676,DAL,UNH
677,DVN,DFS
678,DVN,DPZ
679,DVN,DXC
680,DVN,ECL
681,DVN,EFX
682,DVN,EL
683,DVN,FRC
684,DVN,GRMN
685,DVN,HD
686,DVN,IQV
687,DVN,LH
688,DVN,LEN
689,DVN,MAS
690,DVN,NVR
691,DVN,PNR
692,DVN,PKI
693,DVN,PXD
694,DVN,PNC
695,DVN,PPG
696,DVN,PHM
697,DVN,NOW
698,DVN,TMO
699,DVN,TYL
700,DVN,WHR
701,DVN,ZTS
702,DFS,DOV
703,DFS,ECL
704,DFS,FRT
705,DFS,F
706,DFS,GM
707,DFS,LH
708,DFS,MGM
709,DFS,MCO
710,DFS,NKE
711,DFS,NSC
712,DFS,PNR
713,DFS,PNC
714,DFS,SHW
715,DFS,TEL
716,DFS,WHR
717,DG,GM
718,DG,HD
719,DG,NVR
720,DG,PNR
721,DG,SHW
722,DG,UNH
723,DPZ,DXC
724,DPZ,ECL
725,DPZ,EIX
726,DPZ,EL
727,DPZ,FDS
728,DPZ,FE
729,DPZ,HUM
730,DPZ,IQV
731,DPZ,IRM
732,DPZ,MRO
733,DPZ,NI
734,DPZ,OXY
735,DPZ,PAYC
736,DPZ,PXD
737,DPZ,PEG
738,DPZ,SRE
739,DPZ,TMO
740,DPZ,V
741,DPZ,WMT
742,DPZ,WMB
743,DOV,HD
744,DOV,LOW
745,DOV,MLM
746,DOV,STT
747,DOV,TMO
748,DOW,SPG
749,DTE,LH
750,DTE,MCO
751,DTE,ORCL
752,DTE,DGX
753,DTE,SPG
754,DTE,SYY
755,DTE,UHS
756,DTE,V
757,DUK,GS
758,DUK,TAP
759,DUK,ORCL
760,DUK,DGX
761,DUK,SPG
762,DUK,SYY
763,DUK,UHS
764,DUK,WAT
765,DD,GS
766,DD,HD
767,DD,JPM
768,DXC,HSY
769,DXC,OXY
770,DXC,PAYC
771,EMN,LH
772,EMN,DGX
773,ETN,GS
774,ECL,ELV
775,ECL,EOG
776,ECL,EFX
777,ECL,XOM
778,ECL,HSY
779,ECL,HES
780,ECL,HUM
781,ECL,LH
782,ECL,MTB
783,ECL,MRO
784,ECL,PAYC
785,ECL,PXD
786,ECL,PNC
787,ECL,PGR
788,ECL,PWR
789,ECL,ROL
790,ECL,TMO
791,ECL,TYL
792,ECL,UPS
793,ECL,UNH
794,ECL,VLO
